Kraj;Poradi;Kandidat;Jmeno1;Jmeno2;Titul1;Titul2;Titul3;Titul4;Titul5;Vek;Strana;Clen
Jihoèeskı;16;Dvoøák Jan;Dvoøák;Jan;;;;;;51;ÈSSD;ÈSSD
Olomouckı;14;Dvoøák Jaromír Mgr. Ing.;Dvoøák;Jaromír;Mgr.;Ing.;;;;53;ÈSSD;ÈSSD
Moravskoslezskı;13;Dvoøák Jaroslav PhDr.;Dvoøák;Jaroslav;PhDr.;;;;;37;ÈSSD;ÈSSD
Královéhradeckı;7;Dvoøák Josef;Dvoøák;Josef;;;;;;57;ÈSSD;ÈSSD
Pardubickı;1;Effenberk Ladislav Mgr.;Effenberk;Ladislav;Mgr.;;;;;58;ÈSSD;ÈSSD
Ústeckı;11;Emingr Vladimír MUDr.;Emingr;Vladimír;MUDr.;;;;;57;ÈSSD;ÈSSD
Pardubickı;7;Ešpandr Zdenìk JUDr.;Ešpandr;Zdenìk;JUDr.;;;;;60;ÈSSD;ÈSSD
Karlovarskı;14;Fiala Jaroslav Ing. CSc.;Fiala;Jaroslav;Ing.;CSc.;;;;57;ÈSSD;ÈSSD
Vysoèina;20;Fialová Jana Ing.;Fialová;Jana;Ing.;;;;;40;ÈSSD;ÈSSD
Ústeckı;1;Foldyna Jaroslav;Foldyna;Jaroslav;;;;;;53;ÈSSD;ÈSSD
Libereckı;9;Frenclová Milena;Frenclová;Milena;;;;;;58;ÈSSD;ÈSSD
Jihomoravskı;17;Frolec Jiøí Ing.;Frolec;Jiøí;Ing.;;;;;50;ÈSSD;ÈSSD
Zlínskı;12;Fuksová Vìra Ing.;Fuksová;Vìra;Ing.;;;;;49;ÈSSD;ÈSSD
Jihomoravskı;7;Gabrhel Vlastimil Ing.;Gabrhel;Vlastimil;Ing.;;;;;35;ÈSSD;ÈSSD
Jihoèeskı;21;Glotzová Pavlína;Glotzová;Pavlína;;;;;;46;ÈSSD;ÈSSD
Jihomoravskı;33;Goldemund Karel Ing.;Goldemund;Karel;Ing.;;;;;45;ÈSSD;ÈSSD
Ústeckı;19;Hájek Jan Ing.;Hájek;Jan;Ing.;;;;;65;ÈSSD;ÈSSD
Moravskoslezskı;25;Halamíèek Robert Ing.;Halamíèek;Robert;Ing.;;;;;34;ÈSSD;ÈSSD
Hl. m. Praha;30;Halová Hana Mgr.;Halová;Hana;Mgr.;;;;;60;ÈSSD;ÈSSD
Støedoèeskı;1;Hamáèek Jan;Hamáèek;Jan;;;;;;34;ÈSSD;ÈSSD
Ústeckı;16;Hanták Martin Ing.;Hanták;Martin;Ing.;;;;;48;ÈSSD;ÈSSD
Hl. m. Praha;33;Hanuš Miloslav;Hanuš;Miloslav;;;;;;52;ÈSSD;ÈSSD
Moravskoslezskı;32;Hanzel Tomáš;Hanzel;Tomáš;;;;;;37;ÈSSD;ÈSSD
Karlovarskı;3;Hartmann Vladimír Mgr.;Hartmann;Vladimír;Mgr.;;;;;63;ÈSSD;ÈSSD
Jihomoravskı;2;Hašek Michal JUDr.;Hašek;Michal;JUDr.;;;;;37;ÈSSD;ÈSSD
Libereckı;6;Hauzer Jiøí Ing.;Hauzer;Jiøí;Ing.;;;;;29;ÈSSD;ÈSSD
Pardubickı;5;Havíø Pavel MUDr.;Havíø;Pavel;MUDr.;;;;;58;ÈSSD;ÈSSD
Støedoèeskı;7;Havlíèek Jiøí Ing. MBA;Havlíèek;Jiøí;Ing.;MBA;;;;37;ÈSSD;ÈSSD
Královéhradeckı;13;Heèko Pavel Bc.;Heèko;Pavel;Bc.;;;;;46;ÈSSD;ÈSSD
